Interactive tag cloud visualization of software version control repositories,Greene, Gillian J
Interactive tag cloud visualization of software version control repositories,Fischer, Bernd
Hierarchical software landscape visualization for system comprehension: A controlled experiment,Fittkau, Florian
Hierarchical software landscape visualization for system comprehension: A controlled experiment,Krause, Alexander
Hierarchical software landscape visualization for system comprehension: A controlled experiment,Hasselbring, Wilhelm
Visualizing the Evolution of Working Sets,Minelli, Roberto
Visualizing the Evolution of Working Sets,Mocci, Andrea
Visualizing the Evolution of Working Sets,Lanza, Michele
Jsvee & Kelmu: Creating and Tailoring Program Animations for Computing Education,"Sirki{\""a}", Teemu
Towards Visualization of Feature Interactions in Software Product Lines,Illescas, Sheny
Towards Visualization of Feature Interactions in Software Product Lines,Lopez-Herrejon, Roberto E
Towards Visualization of Feature Interactions in Software Product Lines,Egyed, Alexander
Walls  Pillars and Beams: A 3D Decomposition of Quality Anomalies,Tymchuk, Yuriy
Walls  Pillars and Beams: A 3D Decomposition of Quality Anomalies,Merino, Leonel
Walls  Pillars and Beams: A 3D Decomposition of Quality Anomalies,Ghafari, Mohammad
Walls  Pillars and Beams: A 3D Decomposition of Quality Anomalies,Nierstrasz, Oscar
CuboidMatrix: Exploring Dynamic Structural Connections in Software Components Using Space-Time Cube,Schneider, Teseo
CuboidMatrix: Exploring Dynamic Structural Connections in Software Components Using Space-Time Cube,Tymchuk, Yuriy
CuboidMatrix: Exploring Dynamic Structural Connections in Software Components Using Space-Time Cube,Salgado, Ronie
CuboidMatrix: Exploring Dynamic Structural Connections in Software Components Using Space-Time Cube,Bergel, Alexandre
Cache-oblivious wavefront: improving parallelism of recursive dynamic programming algorithms without losing cache-efficiency,Tang, Yuan
Cache-oblivious wavefront: improving parallelism of recursive dynamic programming algorithms without losing cache-efficiency,You, Ronghui
Cache-oblivious wavefront: improving parallelism of recursive dynamic programming algorithms without losing cache-efficiency,Kan, Haibin
Cache-oblivious wavefront: improving parallelism of recursive dynamic programming algorithms without losing cache-efficiency,Tithi, Jesmin Jahan
Cache-oblivious wavefront: improving parallelism of recursive dynamic programming algorithms without losing cache-efficiency,Ganapathi, Pramod
Cache-oblivious wavefront: improving parallelism of recursive dynamic programming algorithms without losing cache-efficiency,Chowdhury, Rezaul A
Dynamic deadlock verification for general barrier synchronisation,Cogumbreiro, Tiago
Dynamic deadlock verification for general barrier synchronisation,Hu, Raymond
Dynamic deadlock verification for general barrier synchronisation,Martins, Francisco
Dynamic deadlock verification for general barrier synchronisation,Yoshida, Nobuko
Low-overhead software transactional memory with progress guarantees and strong semantics,Zhang, Minjia
Low-overhead software transactional memory with progress guarantees and strong semantics,Huang, Jipeng
Low-overhead software transactional memory with progress guarantees and strong semantics,Cao, Man
Low-overhead software transactional memory with progress guarantees and strong semantics,Bond, Michael D
More than you ever wanted to know about synchronization: synchrobench  measuring the impact of the synchronization on concurrent algorithms,Gramoli, Vincent
NUMA-aware graph-structured analytics,Zhang, Kaiyuan
NUMA-aware graph-structured analytics,Chen, Rong
NUMA-aware graph-structured analytics,Chen, Haibo
Performance implications of dynamic memory allocators on transactional memory systems,Baldassin, Alexandro
Performance implications of dynamic memory allocators on transactional memory systems,Borin, Edson
Performance implications of dynamic memory allocators on transactional memory systems,Araujo, Guido
Predicate RCU: an RCU for scalable concurrent updates,Arbel, Maya
Predicate RCU: an RCU for scalable concurrent updates,Morrison, Adam
Scalable and efficient implementation of 3d unstructured meshes computation: a case study on matrix assembly,Th{\'e}bault," Lo{\""\i}c"
Scalable and efficient implementation of 3d unstructured meshes computation: a case study on matrix assembly,Petit, Eric
Scalable and efficient implementation of 3d unstructured meshes computation: a case study on matrix assembly,Dinh, Quang
The SprayList: a scalable relaxed priority queue,Alistarh, Dan
The SprayList: a scalable relaxed priority queue,Kopinsky, Justin
The SprayList: a scalable relaxed priority queue,Li, Jerry
The SprayList: a scalable relaxed priority queue,Shavit, Nir
VirtCL: a framework for OpenCL device abstraction and management,You, Yi-Ping
VirtCL: a framework for OpenCL device abstraction and management,Wu, Hen-Jung
VirtCL: a framework for OpenCL device abstraction and management,Tsai, Yeh-Ning
VirtCL: a framework for OpenCL device abstraction and management,Chao, Yen-Ting
Drinking from both glasses combining pessimistic and optimistic tracking of cross-thread dependences,Cao, Man
Drinking from both glasses combining pessimistic and optimistic tracking of cross-thread dependences,Zhang, Minjia
Drinking from both glasses combining pessimistic and optimistic tracking of cross-thread dependences,Sengupta, Aritra
Drinking from both glasses combining pessimistic and optimistic tracking of cross-thread dependences,Bond, Michael D
Gunrock a high-performance graph processing library on the GPU,Wang, Yangzihao
Gunrock a high-performance graph processing library on the GPU,Davidson, Andrew
Gunrock a high-performance graph processing library on the GPU,Pan, Yuechao
Gunrock a high-performance graph processing library on the GPU,Wu, Yuduo
Gunrock a high-performance graph processing library on the GPU,Riffel, Andy
Gunrock a high-performance graph processing library on the GPU,Owens, John D
Optimistic concurrency with OPTIK,Guerraoui, Rachid
Optimistic concurrency with OPTIK,Trigonakis, Vasileios
Keep calm and react with foresight strategies for low-latency and energy-efficient elastic data stream processing,De Matteis, Tiziano
Keep calm and react with foresight strategies for low-latency and energy-efficient elastic data stream processing,Mencagli, Gabriele
Production-guided concurrency debugging,Machado, Nuno
Production-guided concurrency debugging,Lucia, Brandon
Production-guided concurrency debugging,Rodrigues, Lu{\'\i}s
Declarative coordination of graph-based parallel programs,Cruz, Flavio
Declarative coordination of graph-based parallel programs,Rocha, Ricardo
Declarative coordination of graph-based parallel programs,Goldstein, Seth Copen
Be my guest MCS lock now welcomes guests,Wang, Tianzheng
Be my guest MCS lock now welcomes guests,Chabbi, Milind
Be my guest MCS lock now welcomes guests,Kimura, Hideaki
Multi-core on-the-fly SCC decomposition,Bloemen, Vincent
Multi-core on-the-fly SCC decomposition,Laarman, Alfons
Multi-core on-the-fly SCC decomposition,van de Pol, Jaco
DomLock a new multi-granularity locking technique for hierarchies,Kalikar, Saurabh
DomLock a new multi-granularity locking technique for hierarchies,Nasre, Rupesh
The virtues of conflict analysing modern concurrency,Narayanaswamy, Ganesh
The virtues of conflict analysing modern concurrency,Joshi, Saurabh
The virtues of conflict analysing modern concurrency,Kroening, Daniel
AUTOGEN automatic discovery of cache-oblivious parallel recursive algorithms for solving dynamic programs,Chowdhury, Rezaul
AUTOGEN automatic discovery of cache-oblivious parallel recursive algorithms for solving dynamic programs,Ganapathi, Pramod
AUTOGEN automatic discovery of cache-oblivious parallel recursive algorithms for solving dynamic programs,Tithi, Jesmin Jahan
AUTOGEN automatic discovery of cache-oblivious parallel recursive algorithms for solving dynamic programs,Bachmeier, Charles
AUTOGEN automatic discovery of cache-oblivious parallel recursive algorithms for solving dynamic programs,Kuszmaul, Bradley C
AUTOGEN automatic discovery of cache-oblivious parallel recursive algorithms for solving dynamic programs,Leiserson, Charles E
AUTOGEN automatic discovery of cache-oblivious parallel recursive algorithms for solving dynamic programs,Solar-Lezama, Armando
AUTOGEN automatic discovery of cache-oblivious parallel recursive algorithms for solving dynamic programs,Tang, Yuan
A wait-free queue as fast as fetch-and-add,Yang, Chaoran
A wait-free queue as fast as fetch-and-add,Mellor-Crummey, John
A Calculus for Relaxed Memory,Crary, Karl
A Calculus for Relaxed Memory,Sullivan, Michael J
A Coalgebraic Decision Procedure for NetKAT,Foster, Nate
A Coalgebraic Decision Procedure for NetKAT,Kozen, Dexter
A Coalgebraic Decision Procedure for NetKAT,Milano, Matthew
A Coalgebraic Decision Procedure for NetKAT,Silva, Alexandra
A Coalgebraic Decision Procedure for NetKAT,Thompson, Laure
A Scalable  Correct Time-Stamped Stack,Dodds, Mike
A Scalable  Correct Time-Stamped Stack,Haas, Andreas
A Scalable  Correct Time-Stamped Stack,Kirsch, Christoph M
Common Compiler Optimisations are Invalid in the C11 Memory Model and what we can do about it,Vafeiadis, Viktor
Common Compiler Optimisations are Invalid in the C11 Memory Model and what we can do about it,Balabonski, Thibaut
Common Compiler Optimisations are Invalid in the C11 Memory Model and what we can do about it,Chakraborty, Soham
Common Compiler Optimisations are Invalid in the C11 Memory Model and what we can do about it,Morisset, Robin
Common Compiler Optimisations are Invalid in the C11 Memory Model and what we can do about it,Zappa Nardelli, Francesco
Compositional CompCert,Stewart, Gordon
Compositional CompCert,Beringer, Lennart
Compositional CompCert,Cuellar, Santiago
Compositional CompCert,Appel, Andrew W
Deep Specifications and Certified Abstraction Layers,Gu, Ronghui
Deep Specifications and Certified Abstraction Layers,Koenig, J{\'e}r{\'e}mie
Deep Specifications and Certified Abstraction Layers,Ramananandro, Tahina
Deep Specifications and Certified Abstraction Layers,Shao, Zhong
Deep Specifications and Certified Abstraction Layers,Wu, Xiongnan Newman
Deep Specifications and Certified Abstraction Layers,Weng, Shu-Chun
Deep Specifications and Certified Abstraction Layers,Zhang, Haozhong
Deep Specifications and Certified Abstraction Layers,Guo, Yu
DReX A Declarative Language for Efficiently Evaluating Regular String Transformations,Alur, Rajeev
DReX A Declarative Language for Efficiently Evaluating Regular String Transformations,D'Antoni, Loris
DReX A Declarative Language for Efficiently Evaluating Regular String Transformations,Raghothaman, Mukund
From Communicating Machines to Graphical Choreographies,Lange, Julien
From Communicating Machines to Graphical Choreographies,Tuosto, Emilio
From Communicating Machines to Graphical Choreographies,Yoshida, Nobuko
From Network Interface to Multithreaded Web Applications A Case Study in Modular Program Verification,Chlipala, Adam
Higher Inductive Types as Homotopy-Initial Algebras,Sojakova, Kristina
Integrating Linear and Dependent Types,Krishnaswami, Neelakantan R
Integrating Linear and Dependent Types,Pradic, Pierre
Integrating Linear and Dependent Types,Benton, Nick
Iris Monoids and Invariants as an Orthogonal Basis for Concurrent Reasoning,Jung, Ralf
Iris Monoids and Invariants as an Orthogonal Basis for Concurrent Reasoning,Swasey, David
Iris Monoids and Invariants as an Orthogonal Basis for Concurrent Reasoning,Sieczkowski, Filip
Iris Monoids and Invariants as an Orthogonal Basis for Concurrent Reasoning,Svendsen, Kasper
Iris Monoids and Invariants as an Orthogonal Basis for Concurrent Reasoning,Turon, Aaron
Iris Monoids and Invariants as an Orthogonal Basis for Concurrent Reasoning,Birkedal, Lars
Iris Monoids and Invariants as an Orthogonal Basis for Concurrent Reasoning,Dreyer, Derek
K-Java A Complete Semantics of Java,Bogdanas, Denis
K-Java A Complete Semantics of Java,Ro{\c{s}}u, Grigore
Manifest Contracts for Datatypes,Sekiyama, Taro
Manifest Contracts for Datatypes,Nishida, Yuki
Manifest Contracts for Datatypes,Igarashi, Atsushi
